"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 11, 2021","2.7218","2.3834","2.7945","2.3699","830.24M","14.24%"
"Sep 10, 2021","2.3825","2.5164","2.5848","2.2786","80.92M","-5.31%"
"Sep 09, 2021","2.5161","2.4699","2.6202","2.3969","573.39M","1.87%"
"Sep 08, 2021","2.4699","2.5047","2.5614","2.2011","785.86M","-1.39%"
"Sep 07, 2021","2.5047","2.8323","2.8747","2.0316","1.24B","-11.57%"
"Sep 06, 2021","2.8323","2.9106","2.9257","2.7968","324.01M","-2.71%"
"Sep 05, 2021","2.9112","2.8302","2.9552","2.8240","283.80M","2.86%"
"Sep 04, 2021","2.8302","2.9653","2.9653","2.8070","128.51M","-4.55%"
"Sep 03, 2021","2.9652","2.9610","3.0291","2.9030","359.20M","0.14%"
"Sep 02, 2021","2.9610","2.8695","3.0989","2.8368","555.92M","3.17%"
"Sep 01, 2021","2.8700","2.7693","2.9012","2.7226","331.41M","3.63%"
"Aug 31, 2021","2.7693","2.7340","2.8789","2.7068","392.37M","1.25%"
"Aug 30, 2021","2.7353","2.8527","2.8833","2.7226","390.90M","-4.12%"
"Aug 29, 2021","2.8527","2.8464","2.9287","2.7251","396.34M","0.21%"
"Aug 28, 2021","2.8467","2.9460","2.9492","2.7760","400.80M","-3.37%"
"Aug 27, 2021","2.9459","2.5295","2.9459","2.4992","638.38M","16.22%"
"Aug 26, 2021","2.5347","2.7402","2.7846","2.4701","-","-7.50%"
"Aug 25, 2021","2.7402","2.7243","2.7958","2.6124","603.58M","0.58%"
"Aug 24, 2021","2.7242","2.9165","2.9463","2.5985","844.24M","-6.55%"
"Aug 23, 2021","2.9153","2.7058","2.9701","2.6898","841.88M","7.70%"
"Aug 22, 2021","2.7068","2.4360","2.7184","2.4337","621.80M","11.12%"
"Aug 21, 2021","2.4360","2.4553","2.5288","2.3870","349.36M","-0.78%"
"Aug 20, 2021","2.4553","2.4390","2.5794","2.3734","810.94M","0.67%"
"Aug 19, 2021","2.4390","2.1049","2.4522","2.0464","867.20M","15.61%"
"Aug 18, 2021","2.1097","1.9253","2.1611","1.8787","590.03M","9.57%"
"Aug 17, 2021","1.9255","2.0729","2.1401","1.9131","437.15M","-7.11%"
"Aug 16, 2021","2.0729","2.1669","2.1963","2.0485","509.15M","-4.38%"
"Aug 15, 2021","2.1679","2.1888","2.2493","2.0321","718.04M","-0.96%"
"Aug 14, 2021","2.1889","2.1370","2.2510","2.0890","1.05B","2.43%"
"Aug 13, 2021","2.1370","1.8288","2.1475","1.8233","994.02M","16.85%"
"Aug 12, 2021","1.8288","1.7976","1.8669","1.6808","69.99M","1.72%"
